State,Latitude,Longitude,City
AL,32.6010112,-86.6807365,Alabama
AK,61.3025006,-158.7750198,Alaska
AZ,34.1682185,-111.930907,Arizona
AR,34.7519275,-92.1313784,Arkansas
CA,37.2718745,-119.2704153,California
CO,38.9979339,-105.550567,Colorado
CT,41.5187835,-72.757507,Connecticut
DE,39.145251,-75.4189206,Delaware
